NAMEUNIT	OBJECTID	INSPIREID	NATCODE	CODNUT1	CODNUT2	CODNUT3	CODIGOINE	Shape__Are	Shape__Len	Tavg	mosquito.abundance	GDP.test	eip	rnott.expected	RBM	CODIMUNI	AREAOFI	AREAPOL	CODICOMAR	CODIPROV	VALIDDE	DATAALTA	CODIMUNI.1	AREAOFI.1	AREAPOL.1	CODICOMAR.1	CODIPROV.1	VALIDDE.1	DATAALTA.1	Casos2014	Casos2015	Casos2016	Casos2017	Promedio	CasosPromedio	id	ImportationRisk
Alforja	2553	ES.IGN.SIGLIM34094343009	34094343009	ES5	ES51	ES514	43009	0.004081027611664	0.421876322036375	22.4640007019043	0.0113710382810174	29620.5247462766	3.01283032376438	0.300123707900584	20912	430094	NA	38431	8	43	NA	201707262100	430094	NA	38431	8	43	NA	201707262100	0	0	0	0	0	0	27	8.10812323910364e-05
Algerri	2327	ES.IGN.SIGLIM34092525015	34092525015	ES5	ES51	ES513	25015	0.005896293169354	0.360614525186734	23.7546666463216	0.0451889035416608	23879.7528365013	2.71726719707619	1.21814969118167	29405.8336209171	250156	54.4168	54.4168	23	25	20140212	201707262100	250156	54.4168	54.4168	23	25	20140212	201707262100	0	0	0	0	0	0	28	0.000128358676773773
Alguaire	2328	ES.IGN.SIGLIM34092525016	34092525016	ES5	ES51	ES513	25016	0.005439190296703	0.369409207151732	23.9200000762939	0.0965539660628508	20869.4221309491	2.681563430173	2.60943534750082	21269	250169	NA	50.4327	33	25	NA	201707262100	250169	NA	50.4327	33	25	NA	201707262100	0	0	0	0	0	0	29	5.10821219678189e-05
Alins	2329	ES.IGN.SIGLIM34092525017	34092525017	ES5	ES51	ES513	25017	0.020185135923689	0.684971526811388	13.5903333822886	0.0174488122964948	16579.271420001	6.12741723639672	0.368678952342705	22053.3455343023	250175	NA	182.7849	26	25	NA	201707262100	250175	NA	182.7849	26	25	NA	201707262100	0	0	0	0	0	0	30	8.92765559925184e-05
Alió	2554	ES.IGN.SIGLIM34094343010	34094343010	ES5	ES51	ES514	43010	0.000776965898916	0.170708934524173	23.6586672465007	0.0736113605464929	27797.7971197285	2.7382160186878	1.98136207673169	26445.1289788773	430108	NA	7.2374	1	43	NA	201707262100	430108	NA	7.2374	1	43	NA	201707262100	0	0	0	0	0	0	31	0
Almacelles	2330	ES.IGN.SIGLIM34092525019	34092525019	ES5	ES51	ES513	25019	0.005287843815112	0.319437956465391	23.5539999008179	0.114870956863164	24654.1459554631	2.7612404245052	3.08684625523538	21451	250194	NA	48.9722	33	25	NA	201707262100	250194	NA	48.9722	33	25	NA	201707262100	0	0	0	0	0	0	32	6.89432881436159e-05
Almatret	2331	ES.IGN.SIGLIM34092525020	34092525020	ES5	ES51	ES513	25020	0.006075798168133	0.360583205673049	24.2859992980957	0.0557024792287608	32561.1437231138	2.60418575464791	1.51373999021454	24940.664341702	250208	NA	56.4375	33	25	NA	201707262100	250208	NA	56.4375	33	25	NA	201707262100	0	0	0	0	0	0	33	0
Almenar	2332	ES.IGN.SIGLIM34092525021	34092525021	ES5	ES51	ES513	25021	0.007209784130666	0.398652060671788	23.8880004882812	0.0677509590258299	26026.9756970785	2.68843693839614	1.83011612345687	20000	250215	NA	66.7523	33	25	NA	201707262100	250215	NA	66.7523	33	25	NA	201707262100	0	0	0	0	0	0	34	0
Almoster	2555	ES.IGN.SIGLIM34094343011	34094343011	ES5	ES51	ES514	43011	0.000647939052604	0.147766968738676	22.8350005149841	0.0203585964227894	23630.5504137903	2.92472353655967	0.540730888384496	31749	430115	NA	6.0016	8	43	NA	201801011500	430115	NA	6.0016	8	43	NA	201801011500	0	0	0	0	0	0	35	7.21156113609631e-05
Alòs de Balaguer	2333	ES.IGN.SIGLIM34092525022	34092525022	ES5	ES51	ES513	25022	0.007497937329214	0.405533959947322	22.6530003547668	0.00768756920867606	27748.7751653531	2.96761907070588	0.203559661579249	18717.8016973232	250220	69.0765	69.0765	23	25	20140212	201707262100	250220	69.0765	69.0765	23	25	20140212	201707262100	0	0	0	0	0	0	36	9.00170929880542e-05
Alp	2097	ES.IGN.SIGLIM34091717006	34091717006	ES5	ES51	ES512	17006	0.004813229753974	0.43527519959817	14.9453331629435	0.0208574499606296	17403.3443536632	5.49793928713883	0.460967961029109	25671	170062	NA	44.0193	15	17	NA	201707262100	170062	NA	44.0193	15	17	NA	201707262100	0	0	0	0	0	0	37	7.1597768776464e-05
Alpens	1771	ES.IGN.SIGLIM34090808004	34090808004	ES5	ES51	ES511	8004	0.001487099781578	0.243745567153892	18.7528003692627	0.00955878764621702	29078.2526301838	4.05429158401347	0.234204798979049	24786.3936135277	80044	13.7788	13.7788	24	8	20171213	201801011500	80044	13.7788	13.7788	24	8	20171213	201801011500	0	0	0	0	0	0	38	0.00015929208300876
Alpicat	2334	ES.IGN.SIGLIM34092525023	34092525023	ES5	ES51	ES513	25023	0.0016490896801	0.207889454288194	23.992000579834	0.1218164993612	26650.2187394837	2.66616191604681	3.29579590176174	30191	250236	NA	15.2979	33	25	NA	201707262100	250236	NA	15.2979	33	25	NA	201707262100	0	0	0	0	0	0	39	0
Alt Àneu	2335	ES.IGN.SIGLIM34092525024	34092525024	ES5	ES51	ES513	25024	0.023916524248776	0.837723268214623	13.6720000780546	0.0180840635913708	28818.3661924163	6.08751525131852	0.383191882357329	25359.7316118116	250241	NA	218.0592	26	25	NA	201707262100	250241	NA	218.0592	26	25	NA	201707262100	0	0	0	0	0	0	40	5.69349697476333e-05
Altafulla	2556	ES.IGN.SIGLIM34094343012	34094343012	ES5	ES51	ES514	43012	0.000741878109244	0.143933807080098	23.9823894500732	0.094773309709294	24426.8946756811	2.66821269060726	2.56375561577563	32122	430120	NA	6.8648	36	43	NA	201707262100	430120	NA	6.8648	36	43	NA	201707262100	1	0	0	0	0,25	1	41	0.000326132364640991
Amer	2098	ES.IGN.SIGLIM34091717007	34091717007	ES5	ES51	ES512	17007	0.00436130446173	0.374112647478946	21.0799999237061	0.0154755991005939	24285.4245646211	3.36557897452079	0.398295155774661	23991	170078	39897	39897	34	17	20150730	201707262100	170078	39897	39897	34	17	20150730	201707262100	0	0	0	0	0	0	42	6.57910817990422e-05
Amposta	2558	ES.IGN.SIGLIM34094343014	34094343014	ES5	ES51	ES514	43014	0.014730510805129	0.73979569793321	24.0748420715332	0.243725704938631	19594.2707800277	2.64855083122785	6.6024001748373	20356	430141	NA	138501	22	43	NA	201707262100	430141	NA	138501	22	43	NA	201707262100	1	0	0	0	0,25	1	43	8.94806776844883e-05
Anglès	2099	ES.IGN.SIGLIM34091717008	34091717008	ES5	ES51	ES512	17008	0.001773387017251	0.229951136165603	22.6319999694824	0.0244630417949878	22033.8788933751	2.97260895261891	0.647527694237928	22197	170084	NA	16.3185	34	17	NA	201707262100	170084	NA	16.3185	34	17	NA	201707262100	0	0	0	0	0	0	44	7.06184165678194e-05
Anglesola	2337	ES.IGN.SIGLIM34092525027	34092525027	ES5	ES51	ES513	25027	0.002559468036983	0.280921371482146	23.7280006408691	0.0641961445273255	30263.7938237797	2.7230700774125	1.72980755842154	20932	250273	23.6724	23.6724	38	25	20150429	201707262100	250273	23.6724	23.6724	38	25	20150429	201707262100	0	0	0	0	0	0	45	0.000144521193428099
Arbeca	2338	ES.IGN.SIGLIM34092525029	34092525029	ES5	ES51	ES513	25029	0.006282854596342	0.426818888118983	23.6848003387451	0.0472926487865772	25774.0321658747	2.73249735448177	1.27347387300048	17550	250292	58.22	58.22	18	25	20100311	201707262100	250292	58.22	58.22	18	25	20100311	201707262100	0	0	0	0	0	0	46	4.35436158819118e-05
Arbolí	2559	ES.IGN.SIGLIM34094343015	34094343015	ES5	ES51	ES514	43015	0.002245293161553	0.264819393977	21.3319997787476	0.0142981267933125	26415.5628742518	3.29840829644179	0.369760403115509	19326.8664655695	430154	NA	20.6898	8	43	NA	201707262100	430154	NA	20.6898	8	43	NA	201707262100	0	0	0	0	0	0	47	0.000178539268945758
Arbúcies	2100	ES.IGN.SIGLIM34091717009	34091717009	ES5	ES51	ES512	17009	0.009343649311523	0.551958926190718	19.5063999176025	0.0277601553940054	24921.7463226991	3.81708868073731	0.691788197668621	22678	170097	NA	86.4118	34	17	NA	201707262100	170097	NA	86.4118	34	17	NA	201707262100	0	0	0	0	0	0	48	8.5803200577149e-05
Arenys de Mar	1773	ES.IGN.SIGLIM34090808006	34090808006	ES5	ES51	ES511	8006	0.000722524979443	0.184327733314333	22.9499998092651	0.136694748360449	20391.9252524704	2.89793963923076	3.63760919888377	26434	80060	NA	6.4728	21	8	NA	201707262100	80060	NA	6.4728	21	8	NA	201707262100	0	0	1	0	0,25	1	49	0.000142577870850056
Arenys de Munt	1774	ES.IGN.SIGLIM34090808007	34090808007	ES5	ES51	ES511	8007	0.002238846987644	0.237353316689533	22.7360000610352	0.118347855729618	27091.0363027085	2.947979425361	3.13814001952825	25385	80076	NA	21.6813	21	8	NA	201707262100	80076	NA	21.6813	21	8	NA	201707262100	0	0	0	0	0	0	50	5.73847885974548e-05
